species,n_strikes,mean_predicted_severity,risk_score
Rufous hummingbird,1,0.37165985042183464,0.25761497744722567
Loggerhead shrike,6,0.13219665855405974,0.2572428195515447
Scarlet tanager,2,0.23387768650682894,0.25694090044167006
White ibis,6,0.13153973449334902,0.2559645043546491
Black-bellied plover,15,0.09203332616193963,0.2551705621868092
Solitary sandpiper,1,0.3679195672009097,0.25502241067814585
Tree swallow,89,0.05654610762770411,0.2544467219226789
Chestnut-sided warbler,2,0.23044097250429801,0.2531652842058518
Northern harrier,14,0.09343542777125949,0.25302782896603027
Big brown bat,5,0.13962607708427846,0.25017634576692227
Mountain chickadee,2,0.2275740651479583,0.250015664553704
Eastern kingbird,7,0.1191049523063573,0.24767178564563494
Black-throated sparrow,1,0.3563396159834589,0.24699580014074818
Dusky flycatcher,1,0.35292413305421566,0.24462836777809258
House finch,6,0.12508464717697398,0.2434034844326767
Indigo bunting,1,0.35082638614057265,0.2431743204193726
Black-capped chickadee,5,0.1356354274899722,0.24302606156795292
White-crowned sparrow,5,0.1345863018341779,0.24114628073977343
Eurasian collared dove,4,0.14874790003888472,0.23940050971753885
American pipit,28,0.0696526968826088,0.2345412357601205
Tri-colored bat,1,0.33574266231632843,0.23271907977825285
Pine grosbeak,1,0.33413044413671955,0.23160157529260947
Evening grosbeak,1,0.3304626966152925,0.22905928643912657
Woodchuck,30,0.06622489096940087,0.2274154282073465
House sparrow,25,0.06936156876707583,0.22598668707174874
Grebes,1,0.324927261154835,0.2252224149565389
"Avocets,stilts",1,0.32471217926675505,0.22507333155222678
Sharp-tailed grouse,7,0.10800154903178764,0.22458290762247088
Black-crowned sparrow lark,1,0.3239029261923121,0.22451240006531717
Flammulated owl,1,0.32313657039178073,0.2239812027028731
"Gulls, terns, kittiwakes",1,0.32169137849621904,0.22297947201509644
Red-naped sapsucker,1,0.32074474896967475,0.22232331842773748
Say's phoebe,3,0.15963211114196701,0.22129709552977253
North American porcupine,9,0.09600299282821438,0.22105506016906074
Striped skunk,23,0.0691532097310299,0.2197726230665544
Western sandpiper,10,0.09138719424810161,0.2191369210818293
Woodpeckers,2,0.19675819583355614,0.21616097183891125
Western barn owl,1,0.30977930647236235,0.21472265287713319
Greater yellowlegs,1,0.3079135068316097,0.2134293791166557
Winter wren,1,0.3044365445897698,0.21101933254181102
Green heron,1,0.30271001692465327,0.20982259475857673
Upland sandpiper,14,0.0774684575493729,0.20978847204565731
Bullock's oriole,1,0.2990745602023297,0.20730268818145045
Black-throated green warbler,1,0.29861588782506443,0.2069847607163483
Golden-crowned kinglet,2,0.18820986347676916,0.20676966886412584
Common tern,1,0.2982699003621349,0.2067449404819096
Common wood-pigeon,2,0.18547934346866307,0.20376988602876636
Semipalmated plover,6,0.10286853998539185,0.2001729359760763
Willet,1,0.2850755178705338,0.1975992914586268
New world porcupines,1,0.28120561193811305,0.19491687707253716
Saffron finch,1,0.27842479044181345,0.1929893584927366
Neotropic cormorant,1,0.2748607587076754,0.19051895994479265
Lesser nighthawk,2,0.1723975482202787,0.1893980650110512
Sprague's pipit,1,0.2728077358390623,0.18909591293178837
Little brown bat,1,0.2719645113464251,0.1885114342521378
Brewer's sparrow,2,0.17150701051856557,0.1884197093484269
Bonin petrel,15,0.06774406329973277,0.18782642590353693
"Herons, egrets, bitterns",1,0.2696031258167304,0.18687464653001487
Diving duck (Aythya),1,0.26731772982243046,0.18529053074010288
Rock wren,2,0.16733453466600778,0.18383577610263596
Shorebirds,8,0.0835268833442853,0.183527320952359
Common box turtle,5,0.10236096187061934,0.1834062227109741
Red-tailed tropicbird,1,0.2630685266936665,0.18234520757177364
Marbled godwit,2,0.16557648356799903,0.1819043595622571
Merlin,21,0.05880638514773492,0.18177303302018857
Ravens,1,0.2619672216669337,0.18158184109755732
Gray kingbird,2,0.1649507114611687,0.18121687863578753
Mountain bluebird,6,0.09255554497822853,0.18010477432448044
